English,Telugu,Swahili,Hindi,Arabic
Is your baby's vomit clear or projectile?,మీ శిశువు వాంతి స్పష్టంగా ఉందా లేదా ప్రొజెక్టైల్?,"Je, vomit ya mtoto wako ni wazi au projectile?",क्या आपके बच्चे की उल्टी स्पष्ट या प्रक्षेप्य है?,هل قيء طفلك واضح أم مقذوف؟
My baby's vomit is clear and projectile.,నా శిశువు వాంతి స్పష్టంగా మరియు ప్రొజెక్టైల్.,Maziwa ya mtoto wangu ni wazi na ya kuvutia.,मेरे बच्चे की उल्टी स्पष्ट और प्रक्षेप्य है।,قيء طفلي واضح وقذيف.
Your baby may have a stomach virus or an intolerance to something you are feeding them. You should consult with your doctor to determine the cause of the vomiting.,మీ బిడ్డకు కడుపు వైరస్ ఉండవచ్చు లేదా మీరు వారికి ఆహారం ఇస్తున్న దాని పట్ల అసహనం ఉండవచ్చు. వాంతికి కారణాన్ని గుర్తించడానికి మీరు మీ వైద్యుడిని సంప్రదించాలి.,Mtoto wako anaweza kuwa na virusi vya tumbo au kutovumilia kitu unachowalisha. Unapaswa kushauriana na daktari wako ili kujua sababu ya kutapika.,आपके बच्चे को पेट का वायरस या किसी ऐसी चीज के प्रति असहिष्णुता हो सकती है जिसे आप उन्हें खिला रहे हैं। उल्टी का कारण निर्धारित करने के लिए आपको अपने डॉक्टर से परामर्श करना चाहिए।,قد يكون طفلك مصابا بفيروس في المعدة أو عدم تحمل شيء تطعمه. يجب عليك استشارة طبيبك لتحديد سبب القيء.
I am concerned that my child may be malnourished.,నా శిశువు పోషకాహార లోపంతో ఉండవచ్చని నేను ఆందోళన చెందుతున్నాను.,Nina wasiwasi kwamba mtoto wangu anaweza kuwa na utapiamlo.,मुझे चिंता है कि मेरा बच्चा कुपोषित हो सकता है।,أنا قلق من أن طفلي قد يكون يعاني من سوء التغذية.
What are some signs of malnutrition in children?,పిల్లలలో పోషకాహార లోపం యొక్క కొన్ని లక్షణాలు ఏమిటి?,Ni dalili zipi za utapiamlo kwa watoto?,बच्चों में कुपोषण के कुछ लक्षण क्या हैं?,ما هي بعض علامات سوء التغذية عند الأطفال؟
"Signs of malnutrition in children can include weight loss, fatigue, weakness, pale skin, and brittle hair and nails.","పిల్లలలో పోషకాహార లోపం యొక్క లక్షణాలలో బరువు తగ్గడం, అలసట, బలహీనత, తెల్లటి చర్మం, మరియు పెళుచటి జుట్టు మరియు గోళ్లు ఉండవచ్చు.","Dalili za utapiamlo kwa watoto zinaweza kujumuisha kupoteza uzito, uchovu, udhaifu, ngozi ya rangi ya ngozi, na nywele za brittle na kucha.","बच्चों में कुपोषण के लक्षणों में वजन घटाने, थकान, कमजोरी, पीली त्वचा, और भंगुर बाल और नाखून शामिल हो सकते हैं।",يمكن أن تشمل علامات سوء التغذية عند الأطفال فقدان الوزن والتعب والضعف وشحوب الجلد وهشاشة الشعر والأظافر.
My child is not eating very much.,నా శిశువు చాలా తినడం లేదు.,Mtoto wangu hajala sana.,मेरा बच्चा बहुत ज्यादा नहीं खा रहा है।,طفلي لا يأكل كثيرا.
How much food is your child typically eating each day?,మీ శిశువు సాధారణంగా రోజుకు ఎంత ఆహారం తీసుకుంటుంది?,Ni chakula gani ambacho mtoto wako anakula kila siku?,आपका बच्चा आमतौर पर हर दिन कितना खाना खाता है?,ما مقدار الطعام الذي يتناوله طفلك عادة كل يوم؟
My child is only eating a few bites of food at each meal.,నా శిశువు ప్రతి భోజనంలో కొన్ని ముద్దలు మాత్రమే తింటుంది.,Mtoto wangu anakula chakula kidogo tu katika kila chakula.,मेरा बच्चा प्रत्येक भोजन में केवल भोजन के कुछ टुकड़े खा रहा है।,طفلي يأكل فقط بضع قضمات من الطعام في كل وجبة.
You should talk to your child's doctor to determine the cause of their decreased appetite.,మీ శిశువు తినే అలవాటు తగ్గడానికి కారణమయ్యేదేమిటో నిర్ణయించడానికి మీరు మీ శిశువు డాక్టర్‌తో మాట్లాడాలి.,Unapaswa kuzungumza na daktari wa mtoto wako ili kujua sababu ya kupungua kwa hamu ya kula.,आपको अपने बच्चे के डॉक्टर से बात करनी चाहिए ताकि उनकी कम भूख का कारण निर्धारित किया जा सके।,يجب عليك التحدث إلى طبيب طفلك لتحديد سبب انخفاض شهيته.
My child is picky about eating.,నా శిశువు తినడం విషయంలో చాలా ఎంపిక చేస్తుంది.,Mtoto wangu ana hamu ya kula.,मेरा बच्चा खाने के बारे में उत्सुक है।,طفلي صعب الإرضاء بشأن الأكل.
What types of foods does your child typically eat?,మీ శిశువు సాధారణంగా ఏ రకమైన ఆహారాలు తింటుంది?,Ni aina gani ya vyakula ambavyo mtoto wako anakula kwa kawaida?,आपका बच्चा आमतौर पर किस प्रकार के खाद्य पदार्थ खाता है?,ما أنواع الأطعمة التي يتناولها طفلك عادة؟
My child only wants to eat junk food.,నా శిశువు జంక్ ఫుడ్ మాత్రమే తినాలనుకుంటుంది.,Mtoto wangu anataka kula chakula cha kutosha.,मेरा बच्चा सिर्फ जंक फूड खाना चाहता है।,طفلي يريد فقط تناول الوجبات السريعة.
You should try to offer your child a variety of healthy foods and limit their intake of junk food.,మీరు మీ శిశువుకు వివిధ రకాల ఆరోగ్యకరమైన ఆహారాలను అందించడానికి ప్రయత్నించాలి మరియు వారి జంక్ ఫుడ్ తీసుకోవడాన్ని పరిమితం చేయాలి.,Unapaswa kujaribu kumpa mtoto wako vyakula mbalimbali vyenye afya na kupunguza ulaji wao wa chakula cha taka.,आपको अपने बच्चे को विभिन्न प्रकार के स्वस्थ खाद्य पदार्थों की पेशकश करने और जंक फूड के सेवन को सीमित करने की कोशिश करनी चाहिए।,يجب أن تحاول أن تقدم لطفلك مجموعة متنوعة من الأطعمة الصحية والحد من تناوله للوجبات السريعة.
My child is vomiting frequently.,నా శిశువు తరచుగా వాంతి చేస్తుంది.,Mtoto wangu anatapika mara kwa mara.,मेरे बच्चे को बार-बार उल्टी हो रही है।,طفلي يتقيأ بشكل متكرر.
How often is your child vomiting?,మీ శిశువు ఎంత తరచుగా వాంతి చేస్తుంది?,Ni mara ngapi mtoto wako anatapika?,आपका बच्चा कितनी बार उल्टी करता है?,كم مرة يتقيأ طفلك؟
My child is vomiting after every meal.,నా శిశువు ప్రతి భోజనం తర్వాత వాంతి చేస్తుంది.,Mtoto wangu anatapika baada ya kila chakula.,मेरा बच्चा हर भोजन के बाद उल्टी कर रहा है।,طفلي يتقيأ بعد كل وجبة.
You should take your child to the doctor to rule out any underlying medical conditions.,ఏవైనా అంతర్లీన వైద్య పరిస్థితులను నిర్ధారించడానికి మీరు మీ శిశువును డాక్టర్ వద్దకు తీసుకెళ్లాలి.,Unapaswa kumpeleka mtoto wako kwa daktari ili kuamua hali yoyote ya msingi ya matibabu.,किसी भी अंतर्निहित चिकित्सा स्थितियों का पता लगाने के लिए आपको अपने बच्चे को डॉक्टर के पास ले जाना चाहिए।,يجب أن تأخذ طفلك إلى الطبيب لاستبعاد أي حالات طبية كامنة.
My child is having diarrhea.,నా శిశువుకు విరేచనాలు ఉన్నాయి.,Mtoto wangu anaugua ugonjwa wa kisukari.,मेरे बच्चे को दस्त हो रहा है।,طفلي يعاني من الإسهال.
How often is your child having diarrhea?,మీ శిశువుకు ఎంత తరచుగా విరేచనాలు జరుగుతున్నాయి?,Ni mara ngapi mtoto wako anaharisha?,आपके बच्चे को कितनी बार दस्त हो रहे हैं?,كم مرة يعاني طفلك من الإسهال؟
My child is having more than six bowel movements per day.,నా శిశువు రోజుకు ఆరు కంటే ఎక్కువ మల విసర్జనలు,Mtoto wangu ana zaidi ya harakati sita za matumbo kwa siku.,मेरे बच्चे को प्रति दिन छह से अधिक मल त्याग हो रहा है।,يعاني طفلي من أكثر من ست حركات أمعاء يوميا.
My child is losing weight.,నా శిశువు బరువు తగ్గుతోంది.,Mtoto wangu anapoteza uzito.,मेरे बच्चे का वजन कम हो रहा है।,طفلي يفقد الوزن.
How much weight has your child lost in recent months?,మీ శిశువు ఇటీవల నెలల్లో ఎంత బరువు తగ్గారు?,Mtoto wako amepoteza uzito kiasi gani katika miezi ya hivi karibuni?,हाल के महीनों में आपके बच्चे ने कितना वजन कम किया है?,ما مقدار الوزن الذي فقده طفلك في الأشهر الأخيرة؟
My child has lost 5 pounds in the past 3 months.,నా శిశువు గత 3 నెలల్లో 5 పౌన్లు బరువు తగ్గారు.,Mtoto wangu amepoteza kilo 5 katika miezi mitatu iliyopita.,मेरे बच्चे ने पिछले 3 महीनों में 5 पाउंड खो दिए हैं।,فقد طفلي 5 أرطال في الأشهر الثلاثة الماضية.
You should take your child to the doctor to determine the cause of their weight loss.,మీ శిశువు బరువు తగ్గడానికి కారణమయ్యేదేమిటో నిర్ణయించడానికి మీరు మీ శిశువును డాక్టర్ వద్దకు తీసుకెళ్లాలి.,Unapaswa kumpeleka mtoto wako kwa daktari ili kujua sababu ya kupoteza uzito.,आपको अपने वजन घटाने का कारण निर्धारित करने के लिए अपने बच्चे को डॉक्टर के पास ले जाना चाहिए।,يجب أن تأخذ طفلك إلى الطبيب لتحديد سبب فقدان الوزن.
My child is tired all the time.,నా శిశువు ఎల్లప్పుడూ అలసిపోతుంది.,Mtoto wangu anachoka kila wakati.,मेरा बच्चा हर समय थका रहता है।,طفلي متعب طوال الوقت.
How much sleep is your child typically getting each night?,మీ శిశువు సాధారణంగా రాత్రికి ఎన్ని గంటలు నిద్రపోతుంది?,Ni kiasi gani cha kulala mtoto wako kawaida kupata kila usiku?,आपका बच्चा आमतौर पर हर रात कितनी नींद लेता है?,ما مقدار النوم الذي يحصل عليه طفلك عادة كل ليلة؟
My child is only sleeping 8-10 hours per night.,నా శిశువు రాత్రికి కేవలం 8-10 గంటలు మాత్రమే నిద్రపోతుంది.,Mtoto wangu analala masaa 8-10 kwa usiku.,मेरा बच्चा प्रति रात केवल 8-10 घंटे सो रहा है।,طفلي ينام فقط 8-10 ساعات في الليلة.
You should try to establish a regular sleep schedule for your child and make sure they are getting enough sleep.,మీరు మీ శిశువుకు నిర్దిష్టమైన నిద్రా సమయాలను ఏర్పాటు చేయడానికి ప్రయత్నించాలి మరియు వారు తగినంత నిద్రపోతున్నారని నిర్ధారించుకోవాలి.,Unapaswa kujaribu kuanzisha ratiba ya kawaida ya kulala kwa mtoto wako na uhakikishe anapata usingizi wa kutosha.,आपको अपने बच्चे के लिए एक नियमित नींद कार्यक्रम स्थापित करने की कोशिश करनी चाहिए और सुनिश्चित करना चाहिए कि वे पर्याप्त नींद ले रहे हैं।,يجب أن تحاول وضع جدول نوم منتظم لطفلك والتأكد من حصوله على قسط كاف من النوم.
My child is weak.,నా శిశువు బలహీనంగా ఉంది.,Mtoto wangu ni dhaifu.,मेरा बच्चा कमजोर है।,طفلي ضعيف.
How often does your child complain of feeling weak?,మీ శిశువు ఎంత తరచుగా బలహీనంగా ఉందని ఫిర్యాదు చేస్తుంది?,Ni mara ngapi mtoto wako analalamika kuwa na hisia dhaifu?,आपका बच्चा कितनी बार कमजोरी महसूस करने की शिकायत करता है?,كم مرة يشكو طفلك من الشعور بالضعف؟
My child complains of feeling weak every day.,నా శిశువు ప్రతిరోజూ బలహీనంగా ఉందని ఫిర్యాదు చేస్తుంది.,Mtoto wangu analalamika kuwa anajihisi dhaifu kila siku.,मेरा बच्चा हर दिन कमजोरी महसूस करने की शिकायत करता है।,طفلي يشكو من الشعور بالضعف كل يوم.
You should take your child to the doctor to rule out any underlying medical conditions.,ఏవైనా అంతర్లీన వైద్య పరిస్థితులను నిర్ధారించడానికి మీరు మీ శిశువును డాక్టర్ వద్దకు తీసుకెళ్లాలి.,Unapaswa kumpeleka mtoto wako kwa daktari ili kuamua hali yoyote ya msingi ya matibabu.,किसी भी अंतर्निहित चिकित्सा स्थितियों का पता लगाने के लिए आपको अपने बच्चे को डॉक्टर के पास ले जाना चाहिए।,يجب أن تأخذ طفلك إلى الطبيب لاستبعاد أي حالات طبية كامنة.
My child's skin is pale.,నా శిశువు చర్మం తెల్లగా ఉంది.,Ngozi ya mtoto wangu ni ya rangi ya ngozi.,मेरे बच्चे की त्वचा पीली पड़ गई है।,بشرة طفلي شاحبة.
What does your child's skin look like?,మీ శిశువు చర్మం ఎలా కనిపిస్తుంది?,Ngozi ya mtoto wako inaonekanaje?,आपके बच्चे की त्वचा कैसी दिखती है?,كيف تبدو بشرة طفلك؟
My child's skin is pale and has a yellowish tinge.,నా శిశువు చర్మం తెల్లగా ఉంది మరియు పసుపురంగు పూత ఉంది.,Ngozi ya mtoto wangu ni ya rangi ya manjano na ina tinge ya manjano.,मेरे बच्चे की त्वचा पीली है और उसका रंग पीला है।,بشرة طفلي شاحبة ولها مسحة صفراء.
You should take your child to the doctor to rule out anemia or other medical conditions.,రక్తహీనత లేదా ఇతర వైద్య పరిస్థితులను నిర్ధారించడానికి మీరు మీ శిశువును డాక్టర్ వద్దకు తీసుకెళ్లాలి.,Unapaswa kumpeleka mtoto wako kwa daktari ili kuondoa anemia au hali nyingine za matibabu.,एनीमिया या अन्य चिकित्सा स्थितियों का पता लगाने के लिए आपको अपने बच्चे को डॉक्टर के पास ले जाना चाहिए।,يجب أن تأخذ طفلك إلى الطبيب لاستبعاد فقر الدم أو الحالات الطبية الأخرى.
My child's hair is brittle and falls out easily.,మీ పిల్లల జుట్టు ఎంత తరచుగా రాలిపోతుంది?,Nywele za mtoto wangu ni brittle na huanguka kwa urahisi.,मेरे बच्चे के बाल भंगुर हैं और आसानी से गिर जाते हैं।,شعر طفلي هش ويتساقط بسهولة.
My child's nails are cracked and spoon-shaped.,నా శిశువు గోళ్లు పగిలి మరియు చెంచా ఆకారంలో ఉన్నాయి.,Misumari ya mtoto wangu imepasuka na umbo la kijiko.,मेरे बच्चे के नाखून फटे हुए और चम्मच के आकार के हैं।,أظافر طفلي متشققة وعلى شكل ملعقة.
What do your child's nails look like?,మీ శిశువు గోళ్లు ఎలా కనిపిస్తున్నాయి?,"Je, misumari ya mtoto wako inaonekanaje?",आपके बच्चे के नाखून कैसे दिखते हैं?,كيف تبدو أظافر طفلك؟
My child's nails are cracked and have a spoon-shaped appearance.,నా శిశువు గోళ్లు పగిలి మరియు చెంచా ఆకారంలో కనిపిస్తాయి.,Misumari ya mtoto wangu imepasuka na ina muonekano wa umbo la kijiko.,मेरे बच्चे के नाखून फटे हुए हैं और चम्मच के आकार के हैं।,أظافر طفلي متشققة ولها مظهر على شكل ملعقة.
You should take your child to the doctor to rule out iron deficiency or other medical conditions.,ఇనుము లోపం లేదా ఇతర వైద్య పరిస్థితులను నిర్ధారించడానికి మీరు మీ శిశువును డాక్టర్ వద్దకు తీసుకెళ్లాలి.,Unapaswa kumpeleka mtoto wako kwa daktari ili kuondoa upungufu wa chuma au hali nyingine za matibabu.,आयरन की कमी या अन्य चिकित्सा स्थितियों का पता लगाने के लिए आपको अपने बच्चे को डॉक्टर के पास ले जाना चाहिए।,يجب أن تأخذ طفلك إلى الطبيب لاستبعاد نقص الحديد أو الحالات الطبية الأخرى.
My child is delayed in reaching developmental milestones.,నా శిశువు అభివృద్ధి మైలురాళ్లను చేరుకోవడంలో జాప్యం చేస్తుంది.,Mtoto wangu anachelewa kufikia hatua za maendeleo.,मेरे बच्चे को विकास के मील के पत्थर तक पहुंचने में देरी हो रही है।,تأخر طفلي في الوصول إلى مراحل النمو.
What developmental milestones is your child missing?,మీ శిశువు ఏ అభివృద్ధి మైలురాళ్లను కోల్పోతుంది?,Ni hatua gani za maendeleo ambazo mtoto wako anakosa?,आपका बच्चा किन विकास ता्मक मील के पत्थर ों को खो रहा है?,ما هي المعالم التنموية التي يفتقدها طفلك؟
"My child is not rolling over, sitting up, or crawling on time.","నా శిశువు సమయానికి దొర్లించుకోవడం, కూర్చోవడం లేదా క్రాల్ చేయడం లేదు.","Mtoto wangu hatembei, ameketi juu, au kutambaa kwa wakati.","मेरा बच्चा समय पर नहीं घूम रहा है, बैठ नहीं रहा है, या रेंग नहीं रहा है।",طفلي لا يتدحرج أو يجلس أو يزحف في الوقت المحدد.
You should talk to your child's doctor about their developmental delays.,మీ శిశువు అభివృద్ధి జాప్యం గురించి మీ శిశువు డాక్టర్‌తో మాట్లాడాలి.,Unapaswa kuzungumza na daktari wa mtoto wako kuhusu kuchelewa kwao kwa maendeleo.,आपको अपने बच्चे के डॉक्टर से उनके विकास में देरी के बारे में बात करनी चाहिए।,يجب عليك التحدث إلى طبيب طفلك حول تأخر نموه.
My child is irritable and fussy.,నా శిశువు చిరాకు మరియు బద్ధకంగా ఉంది.,Mtoto wangu ni mwenye hasira na mwenye hasira.,मेरा बच्चा चिड़चिड़ा और परेशान है।,طفلي سريع الانفعال وصعب الإرضاء.
How often does your child get upset?,మీ శిశువు ఎంత తరచుగా బాధపడుతుంది?,Ni mara ngapi mtoto wako anakasirika?,आपका बच्चा कितनी बार परेशान होता है?,كم مرة ينزعج طفلك؟
My child gets upset easily and cries frequently.,నా శిశువు సులభంగా బాధపడుతుంది మరియు తరచుగా ఏడుస్తుంది.,Mtoto wangu hukasirika kwa urahisi na kulia mara kwa mara.,मेरा बच्चा आसानी से परेशान हो जाता है और अक्सर रोता है।,ينزعج طفلي بسهولة ويبكي كثيرا.
You should try to identify triggers for your child's irritability and avoid them as much as possible.,మీ శిశువు చికాకుకు కారణమయ్యే ట్రిగ్గర్‌లను గుర్తించడానికి ప్రయత్నించండి మరియు వాటిని సాధ్యమైనంతవరకు నివారించండి.,Unapaswa kujaribu kutambua vichocheo vya hasira ya mtoto wako na uepuke iwezekanavyo.,आपको अपने बच्चे के चिड़चिड़ेपन के लिए ट्रिगर ्स की पहचान करने की कोशिश करनी चाहिए और जितना संभव हो सके उनसे बचना चाहिए।,يجب أن تحاول تحديد محفزات تهيج طفلك وتجنبها قدر الإمكان.
My child has a poor appetite.,నా శిశువుకు తినే అలవాటు తక్కువగా ఉంది.,Mtoto wangu ana njaa mbaya.,मेरे बच्चे को भूख कम है।,طفلي لديه شهية ضعيفة.
How much food does your child typically eat each day?,మీ శిశువు సాధారణంగా రోజుకు ఎంత ఆహారం తీసుకుంటుంది?,Ni chakula gani ambacho mtoto wako anakula kila siku?,आपका बच्चा आमतौर पर हर दिन कितना भोजन खाता है?,ما مقدار الطعام الذي يتناوله طفلك عادة كل يوم؟
My child only eats small portions of food and often leaves meals unfinished.,నా శిశువు చిన్న భాగాల ఆహారాన్ని మాత్రమే తింటుంది మరియు తరచుగా భోజనాలను పూర్తి చేయదు.,Mtoto wangu anakula sehemu ndogo tu ya chakula na mara nyingi huacha chakula bila kukamilika.,मेरा बच्चा केवल भोजन के छोटे हिस्से खाता है और अक्सर भोजन को अधूरा छोड़ देता है।,يأكل طفلي أجزاء صغيرة فقط من الطعام وغالبا ما يترك وجبات الطعام غير مكتملة.
You should talk to your child's doctor to rule out any underlying medical conditions that could be affecting their appetite.,వారి ఆకలిని ప్రభావితం చేసే ఏవైనా అంతర్లీన వైద్య పరిస్థితులను నిర్ధారించడానికి మీరు మీ శిశువు డాక్టర్‌తో మాట్లాడాలి.,Unapaswa kuzungumza na daktari wa mtoto wako ili kuondoa hali yoyote ya msingi ya matibabu ambayo inaweza kuathiri hamu yao ya kula.,आपको किसी भी अंतर्निहित चिकित्सा स्थितियों का पता लगाने के लिए अपने बच्चे के डॉक्टर से बात करनी चाहिए जो उनकी भूख को प्रभावित कर सकती हैं।,يجب عليك التحدث إلى طبيب طفلك لاستبعاد أي حالات طبية كامنة يمكن أن تؤثر على شهيته.
My child has frequent infections.,నా శిశువుకు తరచుగా ఇన్ఫెక్షన్లు వస్తాయి.,Mtoto wangu ana maambukizi ya mara kwa mara.,मेरे बच्चे को बार-बार संक्रमण होता है।,طفلي يعاني من التهابات متكررة.
I experience a burning sensation in my chest after eating.,నేను తినడం తర్వాత నా ఛాతీలో మంటగా అనిపిస్తుంది.,Ninapata hisia za moto kifuani mwangu baada ya kula.,मुझे खाने के बाद अपने सीने में जलन का अनुभव होता है।,أعاني من حرقان في صدري بعد تناول الطعام.
How often do you experience heartburn?,మీకు ఎంత తరచుగా గుండెల్లో మంట ఉంటుంది?,Ni mara ngapi unapata maumivu ya moyo?,आप कितनी बार दिल की धड़कन का अनुभव करते हैं?,كم مرة تعاني من حرقة المعدة؟
I experience heartburn at least once a week.,నేను వారానికి కనీసం ఒకసారి గుండెల్లో మంటను అనుభూతి చెందుతాను.,Ninapata maumivu ya moyo angalau mara moja kwa wiki.,मैं सप्ताह में कम से कम एक बार दिल की धड़कन का अनुभव करता हूं।,أعاني من حرقة المعدة مرة واحدة على الأقل في الأسبوع.
What foods or drinks seem to trigger your heartburn?,ఏ ఆహారాలు లేదా పానీయాలు మీ గుండెల్లో మంటను ప్రేరేపిస్తాయి?,Ni vyakula gani au vinywaji vinavyoonekana kuchochea moyo wako?,कौन से खाद्य पदार्थ या पेय आपके दिल की धड़कन को ट्रिगर करते हैं?,ما الأطعمة أو المشروبات التي يبدو أنها تحفز حرقة المعدة؟
"Spicy foods, fatty foods, and acidic drinks tend to trigger my heartburn.","మసాలా ఆహారాలు, కొవ్వు పదార్థాలు మరియు ఆమ్ల ద్రవాలు నా గుండెల్లో మంటను ప్రేరేపిస్తాయి.","Vyakula vya Spicy, vyakula vya mafuta, na vinywaji vya asidi huwa na kusababisha moyo wangu.","मसालेदार भोजन, वसायुक्त खाद्य पदार्थ और अम्लीय पेय मेरे दिल की धड़कन को ट्रिगर करते हैं।",تميل الأطعمة الغنية بالتوابل والأطعمة الدهنية والمشروبات الحمضية إلى تحفيز حرقة المعدة.
Have you tried over-the-counter antacids to relieve your heartburn?,మీ గుండెల్లో మంటను తగ్గించడానికి మీరు కౌంటర్-ఓవర్-ది-కౌంటర్ యాంటాసిడ్‌లను ప్రయత్నించారా?,"Je, umejaribu antacids ya juu ya akaunti ili kupunguza moyo wako?",क्या आपने अपने दिल की धड़कन को दूर करने के लिए ओवर-द-काउंटर एंटासिड की कोशिश की है?,هل جربت مضادات الحموضة المتاحة دون وصفة طبية لتخفيف حرقة المعدة؟
"Yes, I have tried over-the-counter antacids, but they only provide temporary relief.","అవును, నేను కౌంటర్-ఓవర్-ది-కౌంటర్ యాంటాసిడ్‌లను ప్రయత్నించాను, కానీ అవి తాత్కాలిక ఉపశమనం మాత్రమే అందిస్తాయి.","Ndio, nimejaribu antacids za juu, lakini hutoa tu misaada ya muda.","हां, मैंने ओवर-द-काउंटर एंटासिड की कोशिश की है, लेकिन वे केवल अस्थायी राहत प्रदान करते हैं।",نعم ، لقد جربت مضادات الحموضة التي لا تستلزم وصفة طبية ، لكنها توفر راحة مؤقتة فقط.
"If over-the-counter antacids are not providing enough relief, you should talk to your doctor about prescription medications.","కౌంటర్-ఓవర్-ది-కౌంటర్ యాంటాసిడ్‌లు తగినంత ఉపశమనం కలిగించకపోతే, మీరు మీ డాక్టర్‌తో ప్రిస్క్రిప్షన్ మందుల గురించి మాట్లాడాలి.","Ikiwa antacids ya juu ya akaunti haitoi misaada ya kutosha, unapaswa kuzungumza na daktari wako kuhusu dawa za dawa.","यदि ओवर-द-काउंटर एंटासिड पर्याप्त राहत प्रदान नहीं कर रहे हैं, तो आपको डॉक्टर के पर्चे की दवाओं के बारे में अपने डॉक्टर से बात करनी चाहिए।",إذا كانت مضادات الحموضة التي لا تستلزم وصفة طبية لا توفر الراحة الكافية ، فيجب عليك التحدث مع طبيبك حول الأدوية الموصوفة.
I experience a feeling of fullness and bloating after eating.,నేను తినడం తర్వాత నిండుగా మరియు ఉబ్బిన అనుభూతిని అనుభూతి చెందుతాను.,Ninapata hisia ya ukamilifu na bloating baada ya kula.,मैं खाने के बाद परिपूर्णता और सूजन की भावना का अनुभव करता हूं।,أشعر بالامتلاء والانتفاخ بعد تناول الطعام.
How often do you experience indigestion?,మీకు ఎంత తరచుగా అజీర్ణం అనిపిస్తుంది?,Ni mara ngapi unaweza kupata indigestion?,आप कितनी बार अपच का अनुभव करते हैं?,كم مرة تعاني من عسر الهضم؟
I experience indigestion after most meals.,నేను చాలా భోజనాల తర్వాత అజీర్ణం అనిపిస్తుంది.,Ninapata indigestion baada ya chakula nyingi.,अधिकांश भोजन के बाद मुझे अपच का अनुभव होता है।,أعاني من عسر الهضم بعد معظم الوجبات.
What foods or drinks seem to trigger your indigestion?,ఏ ఆహారాలు లేదా పానీయాలు మీ అజీర్ణం ప్రేరేపిస్తాయి?,Ni vyakula gani au vinywaji vinavyoonekana kusababisha msongamano wako?,कौन से खाद्य पदार्थ या पेय आपके अपच को ट्रिगर करते हैं?,ما الأطعمة أو المشروبات التي يبدو أنها تحفز عسر الهضم؟
"Fatty foods, fried foods, and sugary drinks tend to trigger my indigestion.","కొవ్వు పదార్థాలు, వేయించిన ఆహారాలు మరియు చక్కెర పానీయాలు నా అజీర్ణం ప్రేరేపిస్తాయి.","Vyakula vyenye mafuta, vyakula vya kukaanga, na vinywaji vyenye sukari huwa vinasababisha msongamano wangu.","वसायुक्त खाद्य पदार्थ, तले हुए खाद्य पदार्थ, और शर्करा पेय मेरे अपच को ट्रिगर करते हैं।",تميل الأطعمة الدهنية والأطعمة المقلية والمشروبات السكرية إلى تحفيز عسر الهضم.
"Have you tried making lifestyle changes, such as eating smaller meals and avoiding late-night eating, to improve your digestion?",మీ జీర్ణక్రియను మెరుగుపరచడానికి చిన్న భోజనాలు తినడం మరియు ఆలస్యంగా తినడం మానుకోవడం వంటి జీవనశైలి మార్పులను ప్రయత్నించారా?,"Umejaribu kufanya mabadiliko ya maisha, kama vile kula chakula kidogo na kuepuka kula usiku wa manane, kuboresha digestion yako?","क्या आपने अपने पाचन में सुधार के लिए जीवनशैली में बदलाव करने की कोशिश की है, जैसे कि छोटे भोजन खाने और देर रात खाने से बचना?",هل حاولت إجراء تغييرات في نمط الحياة، مثل تناول وجبات صغيرة وتجنب تناول الطعام في وقت متأخر من الليل، لتحسين عملية الهضم؟
"Yes, I have tried making lifestyle changes, but my indigestion persists.","అవును, నేను జీవనశైలి మార్పులను ప్రయత్నించాను, కానీ నా అజీర్ణం కొనసాగుతుంది.","Ndio, nimejaribu kufanya mabadiliko ya maisha, lakini indigestion yangu inaendelea.","हां, मैंने जीवनशैली में बदलाव करने की कोशिश की है, लेकिन मेरी अपच बनी हुई है।",نعم ، لقد حاولت إجراء تغييرات في نمط الحياة ، لكن عسر الهضم لا يزال قائما.
"If lifestyle changes are not improving your digestion, you should talk to your doctor about possible underlying medical conditions.","జీవనశైలి మార్పులు మీ జీర్ణక్రియను మెరుగుపరచకపోతే, మీరు మీ వైద్యునితో సాధ్యమయ్యే అంతర్లీన వైద్య పరిస్థితుల గురించి మాట్లాడాలి.","Ikiwa mabadiliko ya maisha hayaboresha digestion yako, unapaswa kuzungumza na daktari wako juu ya hali ya msingi ya matibabu.","यदि जीवनशैली में बदलाव आपके पाचन में सुधार नहीं कर रहे हैं, तो आपको संभावित अंतर्निहित चिकित्सा स्थितियों के बारे में अपने डॉक्टर से बात करनी चाहिए।",إذا كانت تغييرات نمط الحياة لا تحسن عملية الهضم ، يجب عليك التحدث مع طبيبك حول الحالات الطبية الكامنة المحتملة.
I experience nausea and vomiting after eating.,నేను తినడం తర్వాత వికారం మరియు వాంతి అనిపిస్తుంది.,Ninapata kichefuchefu na kutapika baada ya kula.,मुझे खाने के बाद मतली और उल्टी का अनुभव होता है।,أعاني من الغثيان والقيء بعد تناول الطعام.
How often do you experience nausea and vomiting?,మీకు ఎంత తరచుగా వికారం మరియు వాంతి అనిపిస్తుంది?,Ni mara ngapi unapata kichefuchefu na kutapika?,आप कितनी बार मतली और उल्टी का अनुभव करते हैं?,كم مرة تعاني من الغثيان والقيء؟
